Country,"Inflation, consumer prices (annual %)",Urbanization (%),FDI (% of GDP),"GDP per capita, PPP (current international $)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Tax revenue (% of GDP),Individuals using the Internet (% of population),Trade Openness (% of GDP),Rule of Law Score,Government Effectiveness,Regulatory Quality,Real GDP Growth (% Change),Voice and Accountability: Estimate,Political Stability and Absence of Violence/Terrorism: Estimate,"Central government debt, total (% of GDP)",External debt stocks (% of GNI),Public and publicly guaranteed debt service (% of exports),RSF_PressFreedomIndex,RSF_PressFreedomIndex_PoliticalScore,RSF_PressFreedomIndex_EconomicScore,RSF_PressFreedomIndex_LegalScore,RSF_PressFreedomIndex_SocialScore,RSF_PressFreedomIndex_SafetyScore,ECI,CPI score 2022,LiteracyRate_TotalPopulation_Pct,Gini_Index,Domestic credit to private sector (% of GDP)
Ghana,31.2558951049016,58.615,1.92344065685952,7209.03673375227,3.084,12.2975358062853,69.8405,70.1154557958907,-0.0795473381876945,-0.106421269476414,-0.178818702697754,3.81750462109567,0.400153130292892,-0.195024788379669,,58.463230531715,17.8712795252518,"67,43","66,61","47,22","81,42","79,64","62,25",-0.70736265,43,80.0,43.52,13.2885237880865
Greece,9.64525981280632,80.357,3.63119902887991,38936.3375130315,12.426,27.6419741079546,83.1707,107.679207902405,0.325134873390198,0.446967661380768,0.464378982782364,5.74364918958959,0.956881701946259,0.106463775038719,202.079135428522,,,"55,52","60,5","38,13","69,54","65,36","44,1",0.22135136,52,97.9,38.47,52.2433551193593
Guinea,10.4930409984424,37.668,3.30630355394451,4062.36136437923,5.267,,33.923,94.1652726931221,-1.09771931171417,-0.914215862751007,-1.05010461807251,3.97240784200721,-1.08316206932068,-0.838682115077972,,25.9403143689836,2.35056941377385,"59,82","59,26","47,05","71,15","70,67","50,96",-2.1114068,25,45.3,29.59,
Honduras,9.08963911525025,59.6,2.41292398026651,6805.4935829456,8.774,,59.7135,112.698524913966,-1.0175416469574,-0.86729633808136,-0.485292732715607,4.14356194013767,-0.49105179309845,-0.568361818790436,,43.1693699471804,17.2972230971364,"34,61","33,33","31,63","36,84",31,"40,22",-0.5753976,23,88.5,53.5,70.1021060078611
Hungary,14.6081439492433,72.552,-1.1227943982934,43665.1934458497,3.609,23.4281197043669,89.1428,185.271113216624,0.422067135572433,0.533869922161102,0.406537681818008,4.58340767295068,0.425347447395325,0.678676307201385,75.5259534751362,,,"59,8","47,07","32,31","67,25","67,33","85,03",1.5066137,42,99.1,30.05,36.0413241371957
India,6.69903414079852,35.872,1.48921120524648,9153.88084185646,4.822,6.71965605554655,,49.9653199690324,0.113943412899971,0.369541674852371,-0.0504464171826839,6.9870393257555,0.0458774901926517,-0.615027368068695,,18.3828489244349,8.26658065989597,41,"40,76","30,36","57,02","56,25","20,61",0.49066436,40,76.0,37.06,
Indonesia,4.20946383402165,57.934,1.87267638101123,14284.9594238784,3.462,11.6048416991284,66.4846,45.4658986816744,-0.1881303191185,0.436147511005402,0.205959960818291,5.30741934775764,0.14396958053112,-0.553894221782684,45.3365569338996,30.8716647318756,23.3262163276477,"49,27","45,91","41,33","55,7",66,"37,42",-0.18175171,34,96.0,37.92,35.2890995275057
Islamic Republic of Iran,43.4884641742179,76.807,0.0253573727513357,16424.3773866975,9.085,,81.717,51.597506811024,-1.01758456230164,-0.882911622524261,-1.59271132946014,3.77663140152906,-1.4606020450592,-1.62561237812042,,2.29121870507348,0.169367435583114,"23,22","30,71","21,32","26,71","23,78","13,61",-0.15773574,25,89.0,40.94,
Ireland,7.82945736434105,64.183,-6.48520600331755,137230.866174806,4.501,16.7857030010673,95.5905,232.129490581307,1.52677750587463,1.5485702753067,1.63956081867218,8.61950355191492,1.45429503917694,0.88466739654541,45.400258888176,,,"88,3","89,24","79,08","85,09","92,5","95,58",1.4747884,77,99.0,35.480000000000004,25.4313711947437
Israel,4.39359665912654,92.763,4.38689176804983,53567.3818901397,3.695,25.0113073628509,91.8508,60.5046618476397,0.944517552852631,1.23610758781433,1.20628762245178,6.47037150232485,0.677817583084106,-1.22896540164948,,,,"59,62","65,15","55,1","53,51","77,75","46,61",1.2017292,63,97.8,47.4,70.1662884885209
